clip_id,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Nebel,9.317496587624888,7.932597624235687,43.59032853379522,50.402993111043756,55.96767104123701,16.687611651289235,13.698164506432354
Neu,16.942269854043463,10.762095753953133,44.31455795053284,48.88500228301889,71.6820801537332,23.134854905829393,14.571477022359868
Operieren,14.546933181783048,9.644305005866702,38.91884974644227,47.372135845291865,51.764715152470714,27.21344301646526,11.760801717377875
Regen,8.806849934159946,9.662633447688991,42.52253365596175,58.24958285376328,62.202419987297084,18.314042793527623,18.110561520797024
SauerWuetend,,12.657520183819285,85.23261436271265,,47.15641636363063,,22.91869215527728
Schnee,8.82800748458427,9.457127086447304,42.53248954429541,61.60595832083646,69.29773472702905,18.54316454245403,16.745191802056233
Schreiben,14.351852520484037,9.17933036838766,53.14252881000725,53.23574706501788,69.08352319556673,21.62249927828377,16.89318162169943
Schwach,13.200177857123109,11.987092847527144,53.37761964026271,121.86762320305739,86.43776582459401,34.286092502276105,23.99593256481616
Schwer,14.67840713595583,16.403246858512393,62.74707975039706,86.97813568747873,90.68952610996357,20.146325692397255,22.834133272356166
Sonne,,13.342638954460488,53.94569267891938,,43.49896523142077,,22.468757140603252
Sorry,,18.276457125197542,85.94823127676338,,45.99329458136089,,28.406937937388243
SparenSparsam,18.513434011192157,14.147330160440259,56.87081581671017,78.0687038599562,63.863780854975865,31.739924894522044,16.845378443079007
Spezial,13.533826990338758,12.126048536488902,47.517065697457106,69.1234426510134,60.41730965917689,21.470008349493103,21.24257786687043
Tisch,14.094421612727395,9.628592814693251,48.949094448091984,78.95850531931889,96.77933991231674,32.850273862608034,20.413572095749956
Treffen,16.503426987251924,10.836848817967317,50.44204806596185,62.23863453939534,78.14510523020309,19.816306886889755,13.694762460719195
Vater,,11.887249161641213,64.03823731213144,,63.23834828746389,,16.670102784642694
Verschieden,12.68409218645007,14.826391348195934,45.845335096395154,62.04982270640129,82.18714394924558,22.381259187679696,21.6895095126341
VorsichtPassAuf,7.877210978717533,11.40129646266283,41.40614400050449,53.4686593272192,49.093907349463024,12.324757151032644,17.186881100365635
Waschen,19.782420794692158,15.16446665254299,63.33805329029711,63.894289541649414,87.99620916576016,26.260881203852,24.835528918085785
Widerspruch,17.208632992416884,10.8556844164443,57.11176687991939,46.840509199032915,87.54131191836647,41.045664842188856,14.689545275355028
Ziel,13.959125140911654,14.828518191403136,49.76388450557097,86.56802878337592,73.07607882155735,15.77107975184836,21.282325516202988
reparieren,16.736741411179555,10.074263116021799,55.23079881313719,44.31098765806567,90.15086173910946,28.244902584345798,12.918399415165053
