sign,frame,mpvpe_ubody,mpvpe_lhand,mpvpe_rhand,trv2v_ubody,trv2v_lhand,trv2v_rhand,pred_path,gt_path
BesuchenEinmischen,low_196,45.207996,28.493909,29.065875,21.160543,16.787989,16.224386,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_196.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00392.obj
BesuchenEinmischen,low_198,45.465022,32.029700,29.554835,21.854177,17.517984,16.706863,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_198.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00396.obj
BesuchenEinmischen,low_200,58.294576,30.865196,30.310456,25.756372,16.527932,16.857877,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_200.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00400.obj
BesuchenEinmischen,low_202,50.453395,29.420407,30.137109,23.138870,16.222281,16.533984,/home/haipd/DexAvatar/outputs/output_wilor/BesuchenEinmischen/smplifyx/meshes/low_202.obj,/home/haipd/DexAvatar/data/smplx_gt/BesuchenEinmischen/00404.obj
Entschuldigung,low_133,48.661180,32.428768,24.699617,20.782799,16.202327,15.805244,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_133.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00266.obj
Entschuldigung,low_135,52.147496,33.608578,22.259383,20.599678,17.404009,14.406147,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_135.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00270.obj
Entschuldigung,low_137,52.524079,33.179823,24.986262,23.513904,17.702620,15.441028,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_137.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00274.obj
Entschuldigung,low_139,45.792386,29.094413,21.815706,19.756276,16.288979,14.080849,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_139.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00278.obj
Entschuldigung,low_141,44.765119,33.661865,25.135299,19.089216,18.490661,15.802817,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_141.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00282.obj
Entschuldigung,low_143,44.900283,43.176480,28.647859,20.047851,22.922592,17.664606,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_143.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00286.obj
Entschuldigung,low_145,44.064466,43.285351,27.817762,18.920774,22.597931,16.914820,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_145.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00290.obj
Entschuldigung,low_147,45.230221,37.872024,23.941049,19.823227,20.495025,14.856435,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_147.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00294.obj
Entschuldigung,low_149,43.765772,29.762173,25.940999,20.369928,15.344924,16.340028,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_149.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00298.obj
Entschuldigung,low_151,47.803320,26.841531,25.888760,20.404214,13.678470,16.417624,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_151.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00302.obj
Entschuldigung,low_153,44.125315,23.445999,23.547139,20.172391,11.046755,14.576637,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_153.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00306.obj
Entschuldigung,low_155,46.263091,24.148710,25.224581,21.001795,11.755793,15.908081,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_155.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00310.obj
Entschuldigung,low_157,42.057842,32.293268,25.446288,20.188568,17.449692,16.266234,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_157.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00314.obj
Entschuldigung,low_159,41.029729,29.878002,25.859781,20.001223,16.601047,16.531557,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_159.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00318.obj
Entschuldigung,low_161,42.335652,26.784372,26.309675,20.484092,12.846853,16.306162,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_161.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00322.obj
Entschuldigung,low_163,47.963150,28.255915,25.354639,20.073114,14.072526,16.026350,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_163.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00326.obj
Entschuldigung,low_165,48.503507,29.104302,25.034074,20.411257,15.334068,16.066769,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_165.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00330.obj
Entschuldigung,low_167,44.256262,34.364782,27.259387,20.483699,18.637836,16.754728,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_167.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00334.obj
Entschuldigung,low_169,43.455832,26.102748,27.586855,19.510981,13.061560,17.109735,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_169.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00338.obj
Entschuldigung,low_171,42.769305,23.228236,25.585547,19.142061,11.074939,16.220307,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_171.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00342.obj
Entschuldigung,low_173,40.956743,23.388078,24.797175,19.002950,10.893410,15.875550,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_173.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00346.obj
Entschuldigung,low_175,39.644852,21.938885,25.865428,19.040061,10.159883,16.177157,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_175.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00350.obj
Entschuldigung,low_177,40.636577,22.982594,26.675109,20.127742,10.936359,16.728606,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_177.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00354.obj
Entschuldigung,low_179,45.295212,23.343632,25.402036,21.004135,11.324655,15.674796,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_179.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00358.obj
Entschuldigung,low_181,48.749968,25.663305,25.486099,20.219110,12.793634,15.536587,/home/haipd/DexAvatar/outputs/output_wilor/Entschuldigung/smplifyx/meshes/low_181.obj,/home/haipd/DexAvatar/data/smplx_gt/Entschuldigung/00362.obj
Glas,low_106,45.902751,21.240484,17.808439,18.515697,13.614243,11.599765,/home/haipd/DexAvatar/outputs/output_wilor/Glas/smplifyx/meshes/low_106.obj,/home/haipd/DexAvatar/data/smplx_gt/Glas/00212.obj
Glas,low_108,47.645342,19.643653,15.996445,23.515785,13.347777,10.496746,/home/haipd/DexAvatar/outputs/output_wilor/Glas/smplifyx/meshes/low_108.obj,/home/haipd/DexAvatar/data/smplx_gt/Glas/00216.obj
Glas,low_110,48.691873,21.635642,16.597038,23.863023,13.540898,11.040640,/home/haipd/DexAvatar/outputs/output_wilor/Glas/smplifyx/meshes/low_110.obj,/home/haipd/DexAvatar/data/smplx_gt/Glas/00220.obj
Glas,low_112,46.646036,15.984967,17.218685,22.700846,9.911359,10.955432,/home/haipd/DexAvatar/outputs/output_wilor/Glas/smplifyx/meshes/low_112.obj,/home/haipd/DexAvatar/data/smplx_gt/Glas/00224.obj
Glas,low_114,43.426074,21.878911,21.524454,20.351486,12.415510,13.702428,/home/haipd/DexAvatar/outputs/output_wilor/Glas/smplifyx/meshes/low_114.obj,/home/haipd/DexAvatar/data/smplx_gt/Glas/00228.obj
Glas,low_116,46.064679,20.394975,18.706964,23.456344,12.399505,14.193496,/home/haipd/DexAvatar/outputs/output_wilor/Glas/smplifyx/meshes/low_116.obj,/home/haipd/DexAvatar/data/smplx_gt/Glas/00232.obj
IdiomPffIgnorieren,low_124,43.960303,22.921763,18.985527,20.796793,12.733176,13.764210,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_124.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00248.obj
IdiomPffIgnorieren,low_126,47.204856,14.380173,16.855925,19.143716,10.378803,13.496986,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_126.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00252.obj
IdiomPffIgnorieren,low_128,44.553496,11.082349,18.759381,19.833196,11.082338,13.275600,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_128.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00256.obj
IdiomPffIgnorieren,low_130,44.591803,12.890057,25.742484,20.413298,11.705847,13.581288,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_130.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00260.obj
