clip_id,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Frieren,10.501824246469146,13.049182636027579,44.56059800819185,58.161576856836554,48.776373874533775,17.282760030630815,24.085636972989594
Frisch,13.299733650495078,12.248512427641582,63.272802868144325,76.88767995220712,90.12844813546263,22.606706226691944,18.102575403368306
Froh,9.943822885990887,10.613430628525094,48.79048183386413,50.28370134734187,74.83852444803146,15.830160021618184,16.659821900597496
Glas,11.988424251772848,13.29650877948039,43.528818338161805,35.79966585318564,61.415507880917666,19.12049262648209,18.66326518408612
IdiomPffIgnorieren,13.191004549930485,12.814925109962715,55.736690669176156,68.78327233354662,77.55499818324613,16.610333559055235,23.307074299209116
Jahr,,13.301096716161911,56.40232264225623,,52.570781131584454,,15.199885235711736
Klar,,12.603608383652672,61.38132159782094,,54.955944376115454,,18.22160145091029
Kochen,10.570310082428255,15.51805562325456,52.97155220490714,77.84807535562709,51.99739803633009,14.816989505712941,18.628449852508965
Lesen,9.624976644532497,11.122975088946422,51.847078555784066,96.10104506170445,51.977537111404025,16.560096827303003,14.4163025500823
LiebBitte,,13.754849117135247,70.57990502262588,,86.11868457809828,,24.565445486210255
Luegen,,13.313773247724601,75.00400473670996,,55.70146939177363,,22.427227478309725
Muell,,15.57061760676286,80.98143957532305,,89.2167624891727,,21.245077191275392
Mutter,,9.235855039233057,71.11983379208765,,59.61387121136614,,20.122162888029347
Naehen,15.211498536402326,10.049443076852647,43.17791775925107,48.800421297340705,54.55342517282011,24.522552818190636,17.363600566579237
Nebel,9.671999332870367,10.312496751544254,43.23809446566537,50.05739095252003,56.342441336843244,15.554241329296389,16.00800222626094
Neu,13.348475006573896,10.473938362959712,44.078510368066915,48.442515056787826,69.75446684046202,21.74150985849837,13.154691050443216
Operieren,12.73443645601052,9.248142244384601,38.83140338599,47.92429726361098,53.318258426817636,23.488178214233844,10.239244383646303
Regen,8.749915869198661,10.938879562967179,42.604664886890774,61.22891314129576,64.9121383656999,16.954535727576058,19.762010996314405
SauerWuetend,,10.237802924632648,84.40270080627324,,40.985160780438285,,14.838460664624005
Schnee,8.21792220520713,10.75761287409793,41.73876540885313,60.12383404009208,66.64705873225294,16.544118791768383,18.322761372863237
Schreiben,10.077698991309184,8.09864408212857,52.78902239808871,51.681997488635595,70.35589851209168,19.883198076662094,13.925654429927283
Schwach,11.020889758499207,10.824573521595484,53.535176979440465,121.87559746375258,86.31796175782966,28.82785535203417,22.654945360464062
Schwer,13.12548344061049,15.940866345696733,61.352444949785095,88.269489933419,89.71171375098383,17.631567666331257,21.540217507007213
Sonne,,14.298999565557185,51.99612829776069,,41.35507821493976,,21.075109840641595
Sorry,,16.317274189416104,80.10948260179569,,48.43031933427642,,25.953138464769015
SparenSparsam,13.887434120342526,11.357967950827197,50.951517906510674,61.804829763066216,61.2458908274251,22.807293318191785,12.488594928018738
Spezial,10.474818230871696,11.012203073572994,46.30180130716508,63.42920569769417,59.36838569093766,18.459633307161248,19.80780147594014
Tisch,10.860668281744303,9.279553663377326,48.34316891212754,76.95039378072708,94.93698850122445,25.130524021073704,20.745985397299812
Treffen,15.197197550770516,9.68989206248234,50.186779488500754,66.41781772330573,74.96040300862934,21.318952937282724,12.723354498134247
Vater,,10.816397155568039,61.0546773954207,,68.8390011504246,,16.079288999070585
Verschieden,12.069657419110628,13.157141129317834,45.557034809617456,60.23131585998611,80.69999849097437,22.067403002042916,19.821203723497533
VorsichtPassAuf,8.97189026415669,10.363061111042052,41.60293920569161,56.226494146420805,50.60417454128578,15.177900801069482,16.201697632883207
Waschen,19.782046246512312,13.120519321228192,62.5429323359998,59.79838929462866,94.29375842235794,29.392580702176538,23.104730805779038
Widerspruch,15.986035988329027,10.510969175670729,57.688942571297716,47.8672968770432,89.28808700622965,38.022334284517704,13.662787544264857
Ziel,13.622031881457913,12.701423320675838,50.52577256107816,89.38435717242258,71.92235001936433,16.44732827872488,19.43685829493287
reparieren,14.152852624666828,9.985332578426833,53.16652831725285,41.246737526533245,81.81395822617138,24.266396699404762,12.42808292450398
