abstain_left_hand,abstain_right_hand,abstain_upper_body,acceleration_error,aurc_left_hand,aurc_right_hand,aurc_upper_body,clip_id,frames,jerk_error,pa_mpvpe_left_hand_mm,pa_mpvpe_right_hand_mm,pa_mpvpe_upper_body_mm,risk_error_spearman_left_hand,risk_error_spearman_right_hand,risk_error_spearman_upper_body,risk_left_hand,risk_right_hand,risk_upper_body,selective_80_left_hand_mm,selective_80_right_hand_mm,selective_80_upper_body_mm,selective_90_left_hand_mm,selective_90_right_hand_mm,selective_90_upper_body_mm,signer_id,tr_v2v_left_hand_mm,tr_v2v_right_hand_mm,tr_v2v_upper_body_mm,velocity_error
0.06666666666666667,0.4,0.5333333333333333,273.8416419396034,41.335514068603516,11.6464262008667,48.9227409362793,Muell,15,6677.327934265137,5.734546947479248,11.013851324717203,45.18765106201172,0.10000000149011612,0.8500000238418579,0.04642857238650322,0.32121639847755434,0.15714436570803325,0.24896877408027648,45.2072639465332,13.584710121154785,54.451324462890625,44.790706634521484,14.818026542663574,54.665489196777344,unknown,45.180166498819986,15.655024655659993,54.33865102132162,12.000431324754443
0.08333333333333333,0.0,0.2916666666666667,107.04745665463534,45.01351547241211,9.270925521850586,57.22612380981445,Mutter,24,3001.814374651228,11.141329725583395,5.434527099132538,47.81637096405029,-0.5591304302215576,-0.035652175545692444,-0.5026087164878845,0.34178974976142246,0.10391786911835273,0.23946573585271835,44.843692779541016,9.986597061157227,57.85747146606445,44.25411605834961,9.861052513122559,57.300636291503906,unknown,43.86532179514567,9.80579674243927,57.00043551127116,4.692738411219223
0.0,0.0,0.0,125.48950158982049,15.290166854858398,9.952173233032227,19.991783142089844,Naehen,44,3242.2913394090606,7.453190250830217,7.768584175543352,16.547564376484264,-0.37420719861984253,0.1186751201748848,0.13699787855148315,0.0,0.0,0.0,15.403721809387207,10.21714973449707,20.514787673950195,15.455906867980957,10.279587745666504,20.734272003173828,unknown,15.423446958715266,10.273671973835338,20.696434194391426,5.154579828991446
0.0,0.0,0.0,260.6997041895583,9.257914543151855,10.173834800720215,23.290752410888672,Nebel,39,6885.738874223497,7.210365588848408,6.507788364703838,20.697178767277645,0.4263157844543457,-0.07105263322591782,0.0793522298336029,0.0,0.0,0.0,9.72506046295166,10.6365966796875,23.547401428222656,9.831826210021973,10.585206985473633,23.802215576171875,unknown,9.875251109783466,10.472344667483599,23.89896676479242,10.304672832943892
0.0,0.0,0.0,182.50176603143865,11.575634956359863,9.34089183807373,24.151874542236328,Neu,13,5231.52123413086,6.2064032554626465,5.591712548182561,22.369242741511417,0.3901098966598511,0.42307692766189575,-0.005494505632668734,0.16095030651642725,0.11307433706063491,0.23045302125123832,13.082256317138672,10.253652572631836,25.842384338378906,12.999430656433105,10.45081615447998,25.849084854125977,unknown,13.589115876417894,10.525371991671049,26.232370376586914,7.358596466481686
0.0,0.0,0.0,72.19627602347012,12.98271656036377,8.801345825195312,20.208648681640625,Operieren,31,2031.0836064474922,8.302174475885206,7.777741985936319,20.36801295126638,-0.6782258152961731,0.24354839324951172,0.1875,0.0,0.0,0.0,13.342079162597656,9.059751510620117,20.692869186401367,13.24194622039795,9.093976020812988,20.813953399658203,unknown,13.186669780362037,9.13725459191107,20.96640254605201,3.2862102508544924
0.0,0.0,0.0,228.0274575723184,9.435096740722656,10.522222518920898,26.42423439025879,Regen,39,6064.974378797743,6.608709127475054,6.027837068606646,27.76411340175531,-0.2892712652683258,0.26275303959846497,0.37550607323646545,0.0,0.0,0.0,9.277083396911621,11.403715133666992,28.60466957092285,9.17152214050293,11.275020599365234,29.119293212890625,unknown,9.057690192491581,11.257119912367601,29.42447129274026,9.01429162566599
0.18181818181818182,0.0,0.6818181818181818,140.6069067001343,45.64099884033203,10.442150115966797,55.479129791259766,SauerWuetend,22,3556.0458470394738,6.910747809843584,7.447535991668701,45.052052931352094,-0.1394692212343216,-0.38565781712532043,0.010728402063250542,0.3363123346458782,0.10231638970700177,0.24145262959328564,45.45509719848633,10.490007400512695,56.82852554321289,44.90937042236328,10.339029312133789,57.123924255371094,unknown,44.94327926635742,10.348677331751043,57.38903201710094,6.422079659643627
0.0,0.0,0.0,290.1439050639548,8.073582649230957,10.083436965942383,23.48861312866211,Schnee,43,8011.042249488831,5.726837435434031,6.237735559773999,19.723091613414677,-0.08335850387811661,0.15282392501831055,0.09060706943273544,0.0,0.0,0.0,8.845486640930176,11.26909351348877,25.683162689208984,8.685012817382812,10.99670696258545,25.284664154052734,unknown,8.576169845669769,11.009386761243952,25.1604952257733,10.735112784873872
0.0,0.0,0.0,218.73175525665283,10.25022029876709,8.129188537597656,23.393680572509766,Schreiben,44,5920.331037940048,7.671656467697837,7.222934430295771,22.132126808166504,-0.17674419283866882,-0.21902748942375183,-0.056236784905195236,0.1683636246757074,0.10575113123790784,0.22823688591068442,10.489847183227539,8.307379722595215,24.541690826416016,10.409881591796875,8.303247451782227,24.339902877807617,unknown,10.437429558147084,8.275186517021872,24.2332445491444,8.605325357165448
