clip_id,legacy_region_tr_hand_pve_mm,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_pve_mm,root_aligned_hand_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Lesen,10.373975866739459,9.624976644532497,11.122975088946422,51.847078555784066,74.03929108655426,96.10104506170445,51.977537111404025,15.488199688692653,16.560096827303003,14.4163025500823
LiebBitte,13.754849117135247,,13.754849117135247,70.57990502262588,86.11868457809828,,86.11868457809828,24.565445486210255,,24.565445486210255
Luegen,13.313773247724601,,13.313773247724601,75.00400473670996,55.70146939177363,,55.70146939177363,22.427227478309725,,22.427227478309725
Muell,15.57061760676286,,15.57061760676286,80.98143957532305,89.2167624891727,,89.2167624891727,21.245077191275392,,21.245077191275392
Mutter,9.235855039233057,,9.235855039233057,71.11983379208765,59.61387121136614,,59.61387121136614,20.122162888029347,,20.122162888029347
Naehen,12.630470806627487,15.211498536402326,10.049443076852647,43.17791775925107,51.67692323508041,48.800421297340705,54.55342517282011,20.943076692384935,24.522552818190636,17.363600566579237
Nebel,9.992248042207308,9.671999332870367,10.312496751544254,43.23809446566537,53.199916144681644,50.05739095252003,56.342441336843244,15.781121777778667,15.554241329296389,16.00800222626094
Neu,11.9112066847668,13.348475006573896,10.473938362959712,44.078510368066915,59.09849094862492,48.442515056787826,69.75446684046202,17.448100454470794,21.74150985849837,13.154691050443216
Operieren,10.991289350197562,12.73443645601052,9.248142244384601,38.83140338599,50.62127784521431,47.92429726361098,53.318258426817636,16.863711298940075,23.488178214233844,10.239244383646303
Regen,9.844397716082916,8.749915869198661,10.938879562967179,42.604664886890774,63.070525753497826,61.22891314129576,64.9121383656999,18.358273361945237,16.954535727576058,19.762010996314405
SauerWuetend,10.237802924632648,,10.237802924632648,84.40270080627324,40.985160780438285,,40.985160780438285,14.838460664624005,,14.838460664624005
Schnee,9.487767539652527,8.21792220520713,10.75761287409793,41.73876540885313,63.385446386172525,60.12383404009208,66.64705873225294,17.43344008231581,16.544118791768383,18.322761372863237
Schreiben,9.088171536718878,10.077698991309184,8.09864408212857,52.78902239808871,61.01894800036364,51.681997488635595,70.35589851209168,16.904426253294687,19.883198076662094,13.925654429927283
Schwach,10.922731640047346,11.020889758499207,10.824573521595484,53.535176979440465,104.0967796107911,121.87559746375258,86.31796175782966,25.74140035624911,28.82785535203417,22.654945360464062
Schwer,14.53317489315361,13.12548344061049,15.940866345696733,61.352444949785095,88.99060184220141,88.269489933419,89.71171375098383,19.585892586669235,17.631567666331257,21.540217507007213
Sonne,14.298999565557185,,14.298999565557185,51.99612829776069,41.35507821493976,,41.35507821493976,21.075109840641595,,21.075109840641595
Sorry,16.317274189416104,,16.317274189416104,80.10948260179569,48.43031933427642,,48.43031933427642,25.953138464769015,,25.953138464769015
SparenSparsam,12.622701035584862,13.887434120342526,11.357967950827197,50.951517906510674,61.525360295245655,61.804829763066216,61.2458908274251,17.647944123105262,22.807293318191785,12.488594928018738
