clip_id,legacy_region_tr_hand_pve_mm,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_mpjpe_mm,root_aligned_body_pve_mm,root_aligned_hand_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,temporal_body_acceleration_error_mm_per_s2,temporal_body_high_frequency_energy_ratio,temporal_body_jerk_error_mm_per_s3,temporal_body_motion_amplitude_ratio,temporal_body_spectral_l1_distance,temporal_body_velocity_error_mm_per_s,temporal_hand_acceleration_error_mm_per_s2,temporal_hand_high_frequency_energy_ratio,temporal_hand_jerk_error_mm_per_s3,temporal_hand_motion_amplitude_ratio,temporal_hand_spectral_l1_distance,temporal_hand_velocity_error_mm_per_s,temporal_left_hand_acceleration_error_mm_per_s2,temporal_left_hand_high_frequency_energy_ratio,temporal_left_hand_jerk_error_mm_per_s3,temporal_left_hand_motion_amplitude_ratio,temporal_left_hand_spectral_l1_distance,temporal_left_hand_velocity_error_mm_per_s,temporal_right_hand_acceleration_error_mm_per_s2,temporal_right_hand_high_frequency_energy_ratio,temporal_right_hand_jerk_error_mm_per_s3,temporal_right_hand_motion_amplitude_ratio,temporal_right_hand_spectral_l1_distance,temporal_right_hand_velocity_error_mm_per_s,wrist_aligned_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
BroetchenAufschneiden,11.88351086742599,11.851421609997017,11.915600124854967,49.741377146593805,54.44914330294093,63.316760443745665,65.00532806366175,61.628192823829586,3927.9148023579396,2.2279359225565885,104275.40406755536,1.0120923428921402,0.2311597888666396,162.42901025555608,8199.795559595073,7.708027421878456,220597.5438582506,1.1975097113682711,0.6816850345594688,327.6885969243164,10870.888753220952,14.16409440309262,298497.0341700974,1.4074618253507916,1.241778989683557,401.8335640736961,5528.702365969195,1.251960440664293,142698.0535464038,0.9875575973857506,0.1215910794353808,253.54362977493673,26.575440302024873,28.860399812748156,24.29048079130159
Dort,11.241658524055598,,11.241658524055598,50.11799844365968,61.56430555638178,77.15709384668845,,77.15709384668845,2992.5291165631525,0.8667799776634938,81403.69584083899,1.0011228314702245,0.1207416802468529,127.1875158443988,4185.7745506654555,0.7997491776760726,118010.77323245848,0.9115447475421052,0.1513809405009195,183.75313394888286,,,,,,,4185.7745506654555,0.7997491776760726,118010.77323245848,0.9115447475421052,0.1513809405009195,183.75313394888286,13.704095462145583,,13.704095462145583
Duenn,14.95950639881913,,14.95950639881913,56.743542788187376,65.17631127984072,71.31238697232129,,71.31238697232129,8149.94879088785,3.949643093125809,216523.5410828389,1.3760368066996638,0.7519294046304155,302.7149515718292,4263.590859639658,1.106009462771595,114127.59279219995,1.0577828325668426,0.0406423335273567,161.79793653550217,,,,,,,4263.590859639658,1.106009462771595,114127.59279219995,1.0577828325668426,0.0406423335273567,161.79793653550217,14.669412476658966,,14.669412476658966
Einkaufen,12.360067767071204,9.921121967710956,14.799013566431451,57.841507633525204,48.645619954162946,55.37290435786977,52.49583767966444,58.2499710360751,4116.5658460176255,1.1953359835339465,101506.36460709444,1.008874749948536,0.15735294151271023,178.576685267759,7116.102527982977,1.9145740867724768,185615.2743317994,1.0041466606029947,0.16529118129977777,293.1934389923016,7381.652491279582,2.7895627436970543,195976.1654294789,1.0627357797834578,0.29266245392387186,280.99087464365317,6850.552564686372,1.0395854298478993,175254.3832341199,0.9455575414225318,0.037919908675683685,305.3960033409501,22.720992820278557,17.434406163524837,28.007579477032273
Einnehmen,13.425696530757964,13.867437256759217,12.983955804756706,49.25629166842467,51.60777349041356,69.7194013177376,68.070702250114,71.36810038536117,5349.517860054689,2.0523129853854214,139461.3989753559,1.0311462392192983,0.3116681449556351,224.52125513386193,13220.564699266033,2.582311263733458,363366.41019426833,1.3245472950077537,0.4569078820619758,498.40936470461963,22002.70435914019,3.729751387525922,627021.9114161944,1.7686525835249138,0.7808317650811354,763.9632365128301,4438.425039391877,1.4348711399409941,99710.90897234228,0.8804420064905936,0.13298399904281621,232.85549289640915,20.962433791845477,23.567245121959516,18.357622461731445
EinstellenJob,10.436023492687562,12.103475942430995,8.768571042944133,53.5090971127887,42.58960516622852,66.46219034158064,53.85962561907123,79.06475506409005,3357.4699673805526,1.1959351249714787,91402.07069871627,0.9922213928052441,0.07517245463716384,141.83817037821657,4490.400553903722,2.048367496506622,123623.75703663807,1.8545959028738728,0.1733414801288123,185.07156731347956,5209.962846261145,3.0260316703816783,143487.31349456104,2.7344420242902054,0.2973740843778875,202.54242532704168,3770.8382615462983,1.0707033226315652,103760.20057871508,0.9747497814575403,0.04930887587973709,167.60070929991744,21.42103940251211,23.899322785409524,18.9427560196147
EisGefroren,10.556249516253049,10.514487508131593,10.598011524374503,48.88070789108738,43.77109111537732,63.91134430290641,50.93165422632065,76.89103437949217,3638.9120298819053,1.122048704308921,100387.03536212801,1.083174284083127,0.054674605085859196,138.83529840357073,5569.457307437669,1.0945015229503778,155548.55614252764,1.0735613853922334,0.0529963070538429,213.68592604069653,6633.829128861899,1.1159405885310216,187477.78796899432,1.133321575530693,0.058805722052261956,252.74062046251782,4505.0854860134405,1.0730624573697343,123619.32431606094,1.0138011952537738,0.04718689205542385,174.6312316188752,20.942213552412408,23.451107999129224,18.433319105695606
Empathie,10.72417734577206,10.932734765124218,10.515619926419902,62.22486109481033,56.85043823934852,80.31908350380301,53.20573733002991,107.43242967757612,5148.459801962162,1.3210171862723066,124030.95944435168,0.8309707641783135,0.1386128122504715,220.4144913191368,8119.754756422439,1.308170524327251,201599.79717185243,0.8022946227103603,0.2283609369764444,367.4640545163039,8750.909600582121,1.7959824514602394,234946.73567118825,0.8276258909245683,0.33163097758088866,347.64273460466075,7488.599912262756,0.8203585971942627,168252.85867251662,0.7769633544961524,0.12509089637200016,387.2853744279471,20.353456521729097,25.433828599393603,15.273084444064592
Entschuldigung,13.77947737399464,12.474421196250375,15.084533551738899,47.22934842568839,46.74262560896941,63.83118729648376,65.06107462310624,62.60129996986129,6079.065845494136,5.2020029850177085,159524.14111793734,1.437347505278456,0.8841347721090956,227.3375753248877,7745.612508321981,2.7290842795978527,205660.73531688208,1.4228055902561776,0.6205575166985523,291.63238308711186,9554.120377730073,2.189803476133434,259751.7064440824,1.7190854884892435,0.7431078595582193,360.6141166571899,5937.104638913889,3.2683650830622715,151569.76418968174,1.1265256920231117,0.4980071738388853,222.65064951703377,26.23515916724041,26.92675271059586,25.54356562388496
FestellenDiagnose,11.895662435977114,10.734167763593046,13.057157108361176,78.22323569360664,59.46872128464575,78.60192070206439,61.47133442777067,95.73250697635811,2908.3285611342326,1.5815225896643452,78245.68996519192,0.9629558680768991,0.12549868755703109,122.70432444726879,6630.33938339908,2.5248493541697545,185523.6028843525,0.8360575496066116,0.3588226506592637,242.0016506455811,9366.147528650221,3.8362032296748496,265702.9897354567,0.6931115017187468,0.6414243574326264,331.12905912243383,3894.53123814794,1.213495478664659,105344.2160332483,0.9790035974944765,0.07622094388590106,152.87424216872833,22.704759004001403,17.87654954404832,27.532968463954482
